"iso_2","iso_3","country","continent","year","tax","variable","value"
"AU","AUS","Australia","OC","2000","5000 Consumption","% of GDP",8.776
"AU","AUS","Australia","OC","2000","5000 Consumption","% of Total Revenue",28.813
"AU","AUS","Australia","OC","2001","5000 Consumption","% of GDP",8.814
"AU","AUS","Australia","OC","2001","5000 Consumption","% of Total Revenue",30.471
"AU","AUS","Australia","OC","2002","5000 Consumption","% of GDP",9.091
"AU","AUS","Australia","OC","2002","5000 Consumption","% of Total Revenue",30.507
"AU","AUS","Australia","OC","2003","5000 Consumption","% of GDP",8.953
"AU","AUS","Australia","OC","2003","5000 Consumption","% of Total Revenue",29.88
"AU","AUS","Australia","OC","2004","5000 Consumption","% of GDP",8.688
"AU","AUS","Australia","OC","2004","5000 Consumption","% of Total Revenue",28.699
"AU","AUS","Australia","OC","2005","5000 Consumption","% of GDP",8.414
"AU","AUS","Australia","OC","2005","5000 Consumption","% of Total Revenue",28.07
"AU","AUS","Australia","OC","2006","5000 Consumption","% of GDP",8.097
"AU","AUS","Australia","OC","2006","5000 Consumption","% of Total Revenue",27.551
"AU","AUS","Australia","OC","2007","5000 Consumption","% of GDP",7.971
"AU","AUS","Australia","OC","2007","5000 Consumption","% of Total Revenue",27.003
"AU","AUS","Australia","OC","2008","5000 Consumption","% of GDP",7.473
"AU","AUS","Australia","OC","2008","5000 Consumption","% of Total Revenue",27.855
"AU","AUS","Australia","OC","2009","5000 Consumption","% of GDP",7.58
"AU","AUS","Australia","OC","2009","5000 Consumption","% of Total Revenue",29.688
"AU","AUS","Australia","OC","2010","5000 Consumption","% of GDP",7.324
"AU","AUS","Australia","OC","2010","5000 Consumption","% of Total Revenue",28.986
"AU","AUS","Australia","OC","2011","5000 Consumption","% of GDP",7.096
"AU","AUS","Australia","OC","2011","5000 Consumption","% of Total Revenue",27.411
"AU","AUS","Australia","OC","2012","5000 Consumption","% of GDP",7.623
"AU","AUS","Australia","OC","2012","5000 Consumption","% of Total Revenue",28.327
"AU","AUS","Australia","OC","2013","5000 Consumption","% of GDP",7.763
"AU","AUS","Australia","OC","2013","5000 Consumption","% of Total Revenue",28.637
"AU","AUS","Australia","OC","2014","5000 Consumption","% of GDP",7.326
"AU","AUS","Australia","OC","2014","5000 Consumption","% of Total Revenue",26.862
"AU","AUS","Australia","OC","2015","5000 Consumption","% of GDP",7.707
"AU","AUS","Australia","OC","2015","5000 Consumption","% of Total Revenue",27.624
"AU","AUS","Australia","OC","2016","5000 Consumption","% of GDP",7.481
"AU","AUS","Australia","OC","2016","5000 Consumption","% of Total Revenue",27.086
"AU","AUS","Australia","OC","2017","5000 Consumption","% of GDP",7.495
"AU","AUS","Australia","OC","2017","5000 Consumption","% of Total Revenue",26.301
"AU","AUS","Australia","OC","2018","5000 Consumption","% of GDP",7.3
"AU","AUS","Australia","OC","2018","5000 Consumption","% of Total Revenue",25.454
"AU","AUS","Australia","OC","2019","5000 Consumption","% of GDP",7.3
"AU","AUS","Australia","OC","2019","5000 Consumption","% of Total Revenue",25.454
"AU","AUS","Australia","OC","2000","5111 VAT","% of GDP",3.383
"AU","AUS","Australia","OC","2000","5111 VAT","% of Total Revenue",11.108
"AU","AUS","Australia","OC","2001","5111 VAT","% of GDP",3.631
"AU","AUS","Australia","OC","2001","5111 VAT","% of Total Revenue",12.553
"AU","AUS","Australia","OC","2002","5111 VAT","% of GDP",3.902
"AU","AUS","Australia","OC","2002","5111 VAT","% of Total Revenue",13.095
"AU","AUS","Australia","OC","2003","5111 VAT","% of GDP",3.963
"AU","AUS","Australia","OC","2003","5111 VAT","% of Total Revenue",13.226
"AU","AUS","Australia","OC","2004","5111 VAT","% of GDP",3.866
"AU","AUS","Australia","OC","2004","5111 VAT","% of Total Revenue",12.77
"AU","AUS","Australia","OC","2005","5111 VAT","% of GDP",3.926
"AU","AUS","Australia","OC","2005","5111 VAT","% of Total Revenue",13.097
"AU","AUS","Australia","OC","2006","5111 VAT","% of GDP",3.792
"AU","AUS","Australia","OC","2006","5111 VAT","% of Total Revenue",12.904
"AU","AUS","Australia","OC","2007","5111 VAT","% of GDP",3.77
"AU","AUS","Australia","OC","2007","5111 VAT","% of Total Revenue",12.77
"AU","AUS","Australia","OC","2008","5111 VAT","% of GDP",3.383
"AU","AUS","Australia","OC","2008","5111 VAT","% of Total Revenue",12.609
"AU","AUS","Australia","OC","2009","5111 VAT","% of GDP",3.578
"AU","AUS","Australia","OC","2009","5111 VAT","% of Total Revenue",14.012
"AU","AUS","Australia","OC","2010","5111 VAT","% of GDP",3.395
"AU","AUS","Australia","OC","2010","5111 VAT","% of Total Revenue",13.435
"AU","AUS","Australia","OC","2011","5111 VAT","% of GDP",3.258
"AU","AUS","Australia","OC","2011","5111 VAT","% of Total Revenue",12.584
"AU","AUS","Australia","OC","2012","5111 VAT","% of GDP",3.275
"AU","AUS","Australia","OC","2012","5111 VAT","% of Total Revenue",12.17
"AU","AUS","Australia","OC","2013","5111 VAT","% of GDP",3.473
"AU","AUS","Australia","OC","2013","5111 VAT","% of Total Revenue",12.811
"AU","AUS","Australia","OC","2014","5111 VAT","% of GDP",3.475
"AU","AUS","Australia","OC","2014","5111 VAT","% of Total Revenue",12.744
"AU","AUS","Australia","OC","2015","5111 VAT","% of GDP",3.632
"AU","AUS","Australia","OC","2015","5111 VAT","% of Total Revenue",13.017
"AU","AUS","Australia","OC","2016","5111 VAT","% of GDP",3.557
"AU","AUS","Australia","OC","2016","5111 VAT","% of Total Revenue",12.878
"AU","AUS","Australia","OC","2017","5111 VAT","% of Total Revenue",12.152
"AU","AUS","Australia","OC","2017","5111 VAT","% of GDP",3.463
"AU","AUS","Australia","OC","2018","5111 VAT","% of Total Revenue",11.666
"AU","AUS","Australia","OC","2018","5111 VAT","% of GDP",3.346
"AU","AUS","Australia","OC","2019","5111 VAT","% of Total Revenue",11.666
"AU","AUS","Australia","OC","2019","5111 VAT","% of GDP",3.346
"AU","AUS","Australia","OC","2000","5112 Sales","% of GDP",0.28
"AU","AUS","Australia","OC","2000","5112 Sales","% of Total Revenue",0.92
"AU","AUS","Australia","OC","2001","5112 Sales","% of GDP",0.105
"AU","AUS","Australia","OC","2001","5112 Sales","% of Total Revenue",0.363
"AU","AUS","Australia","OC","2002","5112 Sales","% of GDP",0.112
"AU","AUS","Australia","OC","2002","5112 Sales","% of Total Revenue",0.375
"AU","AUS","Australia","OC","2003","5112 Sales","% of GDP",0.116
"AU","AUS","Australia","OC","2003","5112 Sales","% of Total Revenue",0.388
"AU","AUS","Australia","OC","2004","5112 Sales","% of GDP",0.106
"AU","AUS","Australia","OC","2004","5112 Sales","% of Total Revenue",0.352
"AU","AUS","Australia","OC","2005","5112 Sales","% of GDP",0.097
"AU","AUS","Australia","OC","2005","5112 Sales","% of Total Revenue",0.324
"AU","AUS","Australia","OC","2006","5112 Sales","% of GDP",0.099
"AU","AUS","Australia","OC","2006","5112 Sales","% of Total Revenue",0.337
"AU","AUS","Australia","OC","2007","5112 Sales","% of GDP",0.094
"AU","AUS","Australia","OC","2007","5112 Sales","% of Total Revenue",0.318
"AU","AUS","Australia","OC","2008","5112 Sales","% of GDP",0.086
"AU","AUS","Australia","OC","2008","5112 Sales","% of Total Revenue",0.322
"AU","AUS","Australia","OC","2009","5112 Sales","% of GDP",0.096
"AU","AUS","Australia","OC","2009","5112 Sales","% of Total Revenue",0.375
"AU","AUS","Australia","OC","2010","5112 Sales","% of GDP",0.087
"AU","AUS","Australia","OC","2010","5112 Sales","% of Total Revenue",0.345
"AU","AUS","Australia","OC","2011","5112 Sales","% of GDP",0.077
"AU","AUS","Australia","OC","2011","5112 Sales","% of Total Revenue",0.298
"AU","AUS","Australia","OC","2012","5112 Sales","% of Total Revenue",0.278
"AU","AUS","Australia","OC","2012","5112 Sales","% of GDP",0.075
"AU","AUS","Australia","OC","2013","5112 Sales","% of Total Revenue",0.3
"AU","AUS","Australia","OC","2013","5112 Sales","% of GDP",0.081
"AU","AUS","Australia","OC","2014","5112 Sales","% of Total Revenue",0.309
"AU","AUS","Australia","OC","2014","5112 Sales","% of GDP",0.084
"AU","AUS","Australia","OC","2015","5112 Sales","% of Total Revenue",0.324
"AU","AUS","Australia","OC","2015","5112 Sales","% of GDP",0.091
"AU","AUS","Australia","OC","2016","5112 Sales","% of Total Revenue",0.313
"AU","AUS","Australia","OC","2016","5112 Sales","% of GDP",0.086
"AU","AUS","Australia","OC","2017","5112 Sales","% of Total Revenue",0.311
"AU","AUS","Australia","OC","2017","5112 Sales","% of GDP",0.089
"AU","AUS","Australia","OC","2018","5112 Sales","% of Total Revenue",0.301
"AU","AUS","Australia","OC","2018","5112 Sales","% of GDP",0.086
"AU","AUS","Australia","OC","2019","5112 Sales","% of Total Revenue",0.301
"AU","AUS","Australia","OC","2019","5112 Sales","% of GDP",0.086
"AU","AUS","Australia","OC","2000","5121 Excise","% of GDP",2.804
"AU","AUS","Australia","OC","2000","5121 Excise","% of Total Revenue",9.205
"AU","AUS","Australia","OC","2001","5121 Excise","% of GDP",2.717
"AU","AUS","Australia","OC","2001","5121 Excise","% of Total Revenue",9.393
"AU","AUS","Australia","OC","2002","5121 Excise","% of GDP",2.702
"AU","AUS","Australia","OC","2002","5121 Excise","% of Total Revenue",9.067
"AU","AUS","Australia","OC","2003","5121 Excise","% of GDP",2.543
"AU","AUS","Australia","OC","2003","5121 Excise","% of Total Revenue",8.487
"AU","AUS","Australia","OC","2004","5121 Excise","% of GDP",2.477
"AU","AUS","Australia","OC","2004","5121 Excise","% of Total Revenue",8.184
"AU","AUS","Australia","OC","2005","5121 Excise","% of GDP",2.288
"AU","AUS","Australia","OC","2005","5121 Excise","% of Total Revenue",7.632
"AU","AUS","Australia","OC","2006","5121 Excise","% of GDP",2.169
"AU","AUS","Australia","OC","2006","5121 Excise","% of Total Revenue",7.381
"AU","AUS","Australia","OC","2007","5121 Excise","% of GDP",2.069
"AU","AUS","Australia","OC","2007","5121 Excise","% of Total Revenue",7.008
"AU","AUS","Australia","OC","2008","5121 Excise","% of GDP",2
"AU","AUS","Australia","OC","2008","5121 Excise","% of Total Revenue",7.456
"AU","AUS","Australia","OC","2009","5121 Excise","% of GDP",1.95
"AU","AUS","Australia","OC","2009","5121 Excise","% of Total Revenue",7.637
"AU","AUS","Australia","OC","2010","5121 Excise","% of GDP",1.884
"AU","AUS","Australia","OC","2010","5121 Excise","% of Total Revenue",7.456
"AU","AUS","Australia","OC","2011","5121 Excise","% of GDP",1.756
"AU","AUS","Australia","OC","2011","5121 Excise","% of Total Revenue",6.782
"AU","AUS","Australia","OC","2012","5121 Excise","% of GDP",1.72
"AU","AUS","Australia","OC","2012","5121 Excise","% of Total Revenue",6.392
"AU","AUS","Australia","OC","2013","5121 Excise","% of GDP",1.656
"AU","AUS","Australia","OC","2013","5121 Excise","% of Total Revenue",6.109
"AU","AUS","Australia","OC","2014","5121 Excise","% of GDP",1.508
"AU","AUS","Australia","OC","2014","5121 Excise","% of Total Revenue",5.531
"AU","AUS","Australia","OC","2015","5121 Excise","% of GDP",1.357
"AU","AUS","Australia","OC","2015","5121 Excise","% of Total Revenue",4.865
"AU","AUS","Australia","OC","2016","5121 Excise","% of GDP",1.291
"AU","AUS","Australia","OC","2016","5121 Excise","% of Total Revenue",4.675
"AU","AUS","Australia","OC","2017","5121 Excise","% of GDP",1.28
"AU","AUS","Australia","OC","2017","5121 Excise","% of Total Revenue",4.49
"AU","AUS","Australia","OC","2018","5121 Excise","% of GDP",1.258
"AU","AUS","Australia","OC","2018","5121 Excise","% of Total Revenue",4.387
"AU","AUS","Australia","OC","2019","5121 Excise","% of GDP",1.258
"AU","AUS","Australia","OC","2019","5121 Excise","% of Total Revenue",4.387
"AT","AUT","Austria","EU","2000","5000 Consumption","% of GDP",12.404
"AT","AUT","Austria","EU","2000","5000 Consumption","% of Total Revenue",29.335
"AT","AUT","Austria","EU","2001","5000 Consumption","% of GDP",12.374
"AT","AUT","Austria","EU","2001","5000 Consumption","% of Total Revenue",28.196
"AT","AUT","Austria","EU","2002","5000 Consumption","% of GDP",12.505
"AT","AUT","Austria","EU","2002","5000 Consumption","% of Total Revenue",29.287
"AT","AUT","Austria","EU","2003","5000 Consumption","% of GDP",12.372
"AT","AUT","Austria","EU","2003","5000 Consumption","% of Total Revenue",29.173
"AT","AUT","Austria","EU","2004","5000 Consumption","% of GDP",12.265
"AT","AUT","Austria","EU","2004","5000 Consumption","% of Total Revenue",29.232
"AT","AUT","Austria","EU","2005","5000 Consumption","% of GDP",12.026
"AT","AUT","Austria","EU","2005","5000 Consumption","% of Total Revenue",29.324
"AT","AUT","Austria","EU","2006","5000 Consumption","% of GDP",11.602
"AT","AUT","Austria","EU","2006","5000 Consumption","% of Total Revenue",28.712
"AT","AUT","Austria","EU","2007","5000 Consumption","% of GDP",11.483
"AT","AUT","Austria","EU","2007","5000 Consumption","% of Total Revenue",28.319
"AT","AUT","Austria","EU","2008","5000 Consumption","% of GDP",11.504
"AT","AUT","Austria","EU","2008","5000 Consumption","% of Total Revenue",27.794
"AT","AUT","Austria","EU","2009","5000 Consumption","% of GDP",11.799
"AT","AUT","Austria","EU","2009","5000 Consumption","% of Total Revenue",28.792
"AT","AUT","Austria","EU","2010","5000 Consumption","% of GDP",11.74
"AT","AUT","Austria","EU","2010","5000 Consumption","% of Total Revenue",28.665
"AT","AUT","Austria","EU","2011","5000 Consumption","% of GDP",11.884
