"country","year","vat_revenue_ratio","iso_2","iso_3"
"Australia","1976",NA,"AU","AUS"
"Australia","2018",0.47,"AU","AUS"
"Australia","2006",0.54,"AU","AUS"
"Australia","2015",0.5,"AU","AUS"
"Australia","1984",NA,"AU","AUS"
"Australia","1980",NA,"AU","AUS"
"Australia","2005",0.56,"AU","AUS"
"Australia","2000",NA,"AU","AUS"
"Australia","2014",0.48,"AU","AUS"
"Australia","2016",0.5,"AU","AUS"
"Australia","2017",0.48,"AU","AUS"
"Australia","1996",NA,"AU","AUS"
"Australia","2013",0.49,"AU","AUS"
"Australia","2011",0.47,"AU","AUS"
"Australia","1988",NA,"AU","AUS"
"Australia","1992",NA,"AU","AUS"
"Australia","2012",0.47,"AU","AUS"
"Australia","2010",0.49,"AU","AUS"
"Australia","2008",0.49,"AU","AUS"
"Australia","2009",0.51,"AU","AUS"
"Australia","2007",0.54,"AU","AUS"
"Austria","2005",0.58,"AT","AUT"
"Austria","1992",0.61,"AT","AUT"
"Austria","1980",0.652977596751786,"AT","AUT"
"Austria","2017",0.6,"AT","AUT"
"Austria","1976",0.657800008523806,"AT","AUT"
"Austria","2016",0.59,"AT","AUT"
"Austria","1988",0.621139035523466,"AT","AUT"
"Austria","2018",0.6,"AT","AUT"
"Austria","2015",0.59,"AT","AUT"
"Austria","2009",0.58,"AT","AUT"
"Austria","2011",0.58,"AT","AUT"
"Austria","2007",0.58,"AT","AUT"
"Austria","2008",0.59,"AT","AUT"
"Austria","2014",0.58,"AT","AUT"
"Austria","2013",0.58,"AT","AUT"
"Austria","2010",0.58,"AT","AUT"
"Austria","1984",0.642292551260881,"AT","AUT"
"Austria","2012",0.59,"AT","AUT"
"Austria","2006",0.57,"AT","AUT"
"Austria","1996",0.6,"AT","AUT"
"Austria","2000",0.61,"AT","AUT"
"Belgium","1976",0.562241985468678,"BE","BEL"
"Belgium","2015",0.46,"BE","BEL"
"Belgium","2016",0.47,"BE","BEL"
"Belgium","2018",0.47,"BE","BEL"
"Belgium","1984",0.49135196808214,"BE","BEL"
"Belgium","2017",0.47,"BE","BEL"
"Belgium","2014",0.47,"BE","BEL"
"Belgium","1988",0.519596484627135,"BE","BEL"
"Belgium","1980",0.601150658623971,"BE","BEL"
"Belgium","2009",0.47,"BE","BEL"
"Belgium","2012",0.48,"BE","BEL"
"Belgium","2011",0.48,"BE","BEL"
"Belgium","2007",0.51,"BE","BEL"
"Belgium","2000",0.51,"BE","BEL"
"Belgium","2005",0.5,"BE","BEL"
"Belgium","2013",0.47,"BE","BEL"
"Belgium","2010",0.49,"BE","BEL"
"Belgium","2008",0.49,"BE","BEL"
"Belgium","2006",0.51,"BE","BEL"
"Belgium","1996",0.46,"BE","BEL"
"Belgium","1992",0.5,"BE","BEL"
"Canada","2015",0.48,"CA","CAN"
"Canada","1988",NA,"CA","CAN"
"Canada","2012",0.47,"CA","CAN"
"Canada","2006",0.47,"CA","CAN"
"Canada","2011",0.48,"CA","CAN"
"Canada","2007",0.51,"CA","CAN"
"Canada","1984",NA,"CA","CAN"
"Canada","2005",0.5,"CA","CAN"
"Canada","2010",0.49,"CA","CAN"
"Canada","2000",0.49,"CA","CAN"
"Canada","2018",0.49,"CA","CAN"
"Canada","1980",NA,"CA","CAN"
"Canada","1996",0.47,"CA","CAN"
"Canada","1976",NA,"CA","CAN"
"Canada","2017",0.49,"CA","CAN"
"Canada","2009",0.49,"CA","CAN"
"Canada","1992",0.43,"CA","CAN"
"Canada","2014",0.47,"CA","CAN"
"Canada","2016",0.48,"CA","CAN"
"Canada","2013",0.47,"CA","CAN"
"Canada","2008",0.49,"CA","CAN"
"Chile","2010",0.63,"CL","CHL"
"Chile","1984",NA,"CL","CHL"
"Chile","2000",0.64,"CL","CHL"
"Chile","2007",0.68,"CL","CHL"
"Chile","2006",0.64,"CL","CHL"
"Chile","1996",0.67,"CL","CHL"
"Chile","1980",NA,"CL","CHL"
"Chile","2009",0.6,"CL","CHL"
"Chile","2005",0.67,"CL","CHL"
"Chile","1992",0.63,"CL","CHL"
"Chile","1976",NA,"CL","CHL"
"Chile","2017",0.64,"CL","CHL"
"Chile","2015",0.64,"CL","CHL"
"Chile","2013",0.64,"CL","CHL"
"Chile","2014",0.64,"CL","CHL"
"Chile","2016",0.63,"CL","CHL"
"Chile","2018",0.64,"CL","CHL"
"Chile","2012",0.65,"CL","CHL"
"Chile","2011",0.64,"CL","CHL"
"Chile","2008",0.71,"CL","CHL"
"Chile","1988",NA,"CL","CHL"
"Colombia","2018",0.38,"CO","COL"
"Colombia","2017",0.37,"CO","COL"
"Colombia","2016",0.38,"CO","COL"
"Colombia","2015",0.41,"CO","COL"
"Colombia","2010",0.44,"CO","COL"
"Colombia","2008",0.48,"CO","COL"
"Colombia","2005",0.42,"CO","COL"
"Colombia","2014",0.42,"CO","COL"
"Colombia","2009",0.43,"CO","COL"
"Colombia","2007",0.45,"CO","COL"
"Colombia","2000",0.35,"CO","COL"
"Colombia","2013",0.41,"CO","COL"
"Colombia","2012",0.46,"CO","COL"
"Colombia","2006",0.47,"CO","COL"
"Colombia","1996",NA,"CO","COL"
"Colombia","1992",NA,"CO","COL"
"Colombia","2011",0.49,"CO","COL"
"Czech Republic","2015",0.58,"CZ","CZE"
"Czech Republic","2016",0.6,"CZ","CZE"
"Czech Republic","2006",0.52,"CZ","CZE"
