"country","year","vat_revenue_ratio"
"Australia","1976",0
"Austria","1976",0.657800008523806
"Belgium","1976",0.562241985468678
"Canada","1976",0
"Chile","1976",0
"Czech Republic","1976",0
"Denmark","1976",0.63432571741345
"Estonia","1976",0
"Finland","1976",0
"France","1976",0.652770691452783
"Germany","1976",0.549278509790754
"Greece","1976",0
"Hungary","1976",0
"Iceland","1976",0
"Ireland","1976",0.297184516347059
"Israel","1976",0
"Italy","1976",0.440902005744885
"Japan","1976",0
"Korea","1976",0
"Latvia","1976",0
"Lithuania","1976",0
"Luxembourg","1976",0.589846610628681
"Mexico","1976",0
"Netherlands","1976",0.473745090830872
"New Zealand","1976",0
"Norway","1976",0.661876542799438
"Poland","1976",0
"Portugal","1976",0
"Slovak Republic","1976",0
"Slovenia","1976",0
"Spain","1976",0
"Sweden","1976",0.44313615736232
"Switzerland","1976",0
"Turkey","1976",0
"United Kingdom","1976",0.421525087670478
"Australia","1980",0
"Austria","1980",0.652977596751786
"Belgium","1980",0.601150658623971
"Canada","1980",0
"Chile","1980",0
"Czech Republic","1980",0
"Denmark","1980",0.604630134589147
"Estonia","1980",0
"Finland","1980",0
"France","1980",0.690844635301038
"Germany","1980",0.560615052738783
"Greece","1980",0
"Hungary","1980",0
"Iceland","1980",0
"Ireland","1980",0.209741400710164
"Israel","1980",0
"Italy","1980",0.416323961423967
"Japan","1980",0
"Korea","1980",0
"Latvia","1980",0
"Lithuania","1980",0
"Luxembourg","1980",0.609171785694863
"Mexico","1980",0.325657469186087
"Netherlands","1980",0.514869325956913
"New Zealand","1980",0
"Norway","1980",0.659109241604816
"Poland","1980",0
"Portugal","1980",0
"Slovak Republic","1980",0
"Slovenia","1980",0
"Spain","1980",0
"Sweden","1980",0.358280257386466
"Switzerland","1980",0
"Turkey","1980",0
"United Kingdom","1980",0.408428742482402
"Australia","1984",0
"Austria","1984",0.642292551260881
"Belgium","1984",0.49135196808214
"Canada","1984",0
"Chile","1984",0
"Czech Republic","1984",0
"Denmark","1984",0.601340215746281
"Estonia","1984",0
"Finland","1984",0
"France","1984",0.624735437913122
